"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","501","test_screenshots[chromium]","","Sat Jan 03 00:18:27 UTC 2026","passed","Sat Jan 03 00:18:27 UTC 2026","","test_built-in_locators5","",""
"","193","test_select_multiple[chromium]","","Sat Jan 03 00:18:24 UTC 2026","passed","Sat Jan 03 00:18:24 UTC 2026","TestUploadFile","test_built-in_locators5","",""
"","210","test_select[chromium]","","Sat Jan 03 00:18:20 UTC 2026","passed","Sat Jan 03 00:18:20 UTC 2026","","test_built-in_locators5","",""
"","231","test_filter[chromium]","","Sat Jan 03 00:18:19 UTC 2026","passed","Sat Jan 03 00:18:19 UTC 2026","","test_built-in_locators5","",""
"","361","test_many_checkboxes[chromium]","","Sat Jan 03 00:18:19 UTC 2026","passed","Sat Jan 03 00:18:20 UTC 2026","TestCheckboxes","test_built-in_locators5","",""
"","6408","test_expect[chromium]","","Sat Jan 03 00:18:28 UTC 2026","passed","Sat Jan 03 00:18:34 UTC 2026","","test_expect","",""
"","260","test_or[chromium]","","Sat Jan 03 00:18:18 UTC 2026","passed","Sat Jan 03 00:18:18 UTC 2026","","test_built-in_locators5","",""
"","322","test_new_tab[chromium]","","Sat Jan 03 00:18:27 UTC 2026","passed","Sat Jan 03 00:18:28 UTC 2026","","test_built-in_locators5","",""
"","1619","test_replace_from_myhar[chromium]","","Sat Jan 03 00:18:51 UTC 2026","passed","Sat Jan 03 00:18:52 UTC 2026","","test_request_monitoring6","",""
"","248","Авторизация с корректными учетными данными","PageObjectByAntonZimaev.tests","Sat Jan 03 00:18:57 UTC 2026","passed","Sat Jan 03 00:18:57 UTC 2026","","test_login_allure","",""
"","1621","test_mynetwork2[chromium]","","Sat Jan 03 00:18:43 UTC 2026","passed","Sat Jan 03 00:18:45 UTC 2026","","test_request_monitoring6","",""
"","102","test_upload_file3[chromium]","","Sat Jan 03 00:18:24 UTC 2026","passed","Sat Jan 03 00:18:25 UTC 2026","TestUploadFile","test_built-in_locators5","",""
