"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","473","test_screenshots[chromium]","","Sat Jan 03 00:03:19 UTC 2026","passed","Sat Jan 03 00:03:20 UTC 2026","","test_built-in_locators5","",""
"","204","test_inner_text_content[chromium]","","Sat Jan 03 00:03:19 UTC 2026","passed","Sat Jan 03 00:03:19 UTC 2026","","test_built-in_locators5","",""
"","1886","test_download[chromium]","","Sat Jan 03 00:03:17 UTC 2026","passed","Sat Jan 03 00:03:19 UTC 2026","","test_built-in_locators5","",""
"","230","Авторизация с недействительными учетными данными","PageObjectByAntonZimaev.tests","Sat Jan 03 00:03:10 UTC 2026","passed","Sat Jan 03 00:03:10 UTC 2026","","test_login_allure","",""
"","230","test_chain[chromium]","","Sat Jan 03 00:03:11 UTC 2026","passed","Sat Jan 03 00:03:11 UTC 2026","","test_built-in_locators5","",""
"","6288","test_expect[chromium]","","Sat Jan 03 00:03:20 UTC 2026","passed","Sat Jan 03 00:03:27 UTC 2026","","test_expect","",""
"","359","test_login_success[chromium-admin-admin]","PageObjectByAntonZimaev.tests","Sat Jan 03 00:03:47 UTC 2026","passed","Sat Jan 03 00:03:47 UTC 2026","","test_login","",""
"","344","test_many_checkboxes[chromium]","","Sat Jan 03 00:03:12 UTC 2026","passed","Sat Jan 03 00:03:12 UTC 2026","TestCheckboxes","test_built-in_locators5","",""
"","251","test_built_in_locators[chromium]","","Sat Jan 03 00:03:10 UTC 2026","passed","Sat Jan 03 00:03:11 UTC 2026","","test_built-in_locators5","",""
"","168","test_upload_file3[chromium]","","Sat Jan 03 00:03:17 UTC 2026","passed","Sat Jan 03 00:03:17 UTC 2026","TestUploadFile","test_built-in_locators5","",""
"","193","test_select[chromium]","","Sat Jan 03 00:03:13 UTC 2026","passed","Sat Jan 03 00:03:13 UTC 2026","","test_built-in_locators5","",""
"","357","test_login_failure[chromium]","PageObjectByAntonZimaev.tests","Sat Jan 03 00:03:09 UTC 2026","passed","Sat Jan 03 00:03:09 UTC 2026","","test_login","",""
"","204","test_locator_and[chromium]","","Sat Jan 03 00:03:11 UTC 2026","passed","Sat Jan 03 00:03:11 UTC 2026","","test_built-in_locators5","",""
"","40","test_add_user[chromium]","","Sat Jan 03 00:03:43 UTC 2026","passed","Sat Jan 03 00:03:43 UTC 2026","","test_request_monitoring6","",""
"","359","test_login_success[chromium-user-user]","PageObjectByAntonZimaev.tests","Sat Jan 03 00:03:09 UTC 2026","passed","Sat Jan 03 00:03:10 UTC 2026","","test_login","",""
